Freq,time,motorpath,angle
5.00, 0.00, 0, 3.11
5.00, 0.00, 1, 3.11
5.00, 0.00, 3, 3.11
5.00, 0.01, 6, 3.11
5.00, 0.03, 31, 3.11
5.00, 0.06, 57, 3.12
5.00, 0.08, 80, 3.12
5.00, 0.11, 104, 3.12
5.00, 0.14, 126, 3.13
5.00, 0.16, 146, 3.13
5.00, 0.19, 163, 3.13
5.00, 0.22, 177, 3.13
5.00, 0.25, 188, 3.12
5.00, 0.27, 195, 3.12
5.00, 0.30, 199, 3.12
5.00, 0.33, 199, 3.12
5.00, 0.35, 196, 3.12
5.00, 0.38, 189, 3.11
5.00, 0.41, 178, 3.11
5.00, 0.44, 164, 3.10
5.00, 0.46, 148, 3.10
5.00, 0.49, 129, 3.10
5.00, 0.52, 106, 3.10
5.00, 0.54, 83, 3.10
5.00, 0.57, 58, 3.10
5.00, 0.59, 34, 3.09
5.00, 0.62, 8, 3.10
5.00, 0.65, -18, 3.10
5.00, 0.67, -44, 3.10
5.00, 0.70, -71, 3.10
5.00, 0.73, -95, 3.10
5.00, 0.75, -117, 3.11
5.00, 0.78, -139, 3.11
5.00, 0.81, -158, 3.12
5.00, 0.84, -174, 3.12
5.00, 0.87, -186, 3.13
5.00, 0.89, -195, 3.13
5.00, 0.92, -199, 3.14
5.00, 0.95, -200, 3.14
5.00, 0.98, -197, 3.14
5.00, 1.01, -190, 3.15
5.00, 1.03, -179, 3.15
5.00, 1.06, -166, 3.15
5.00, 1.09, -149, 3.15
5.00, 1.12, -128, 3.15
5.00, 1.15, -106, 3.15
5.00, 1.17, -80, 3.14
5.00, 1.20, -54, 3.14
5.00, 1.23, -28, 3.14
5.00, 1.26, -1, 3.13
5.00, 1.28, 25, 3.13
5.00, 1.31, 50, 3.12
5.00, 1.33, 75, 3.12
5.00, 1.36, 98, 3.11
5.00, 1.39, 120, 3.11
5.00, 1.41, 140, 3.10
5.00, 1.44, 158, 3.10
5.00, 1.47, 173, 3.10
5.00, 1.50, 185, 3.09
5.00, 1.52, 193, 3.09
5.00, 1.55, 198, 3.09
5.00, 1.58, 199, 3.09
