Freq,time,motorpath,angle
4.00, 21.21, -6, 3.13
4.00, 21.24, -27, 3.13
4.00, 21.27, -50, 3.13
4.00, 21.30, -71, 3.13
4.00, 21.18, 16, 3.12
4.00, 21.21, -6, 3.13
4.00, 21.24, -27, 3.13
4.00, 21.27, -50, 3.13
4.00, 21.30, -71, 3.13
4.00, 0.00, 0, 3.13
4.00, 0.00, 1, 3.13
4.00, 0.00, 3, 3.14
4.00, 0.01, 5, 3.13
4.00, 0.03, 25, 3.14
4.00, 0.06, 45, 3.14
4.00, 0.08, 65, 3.14
4.00, 0.11, 85, 3.14
4.00, 0.14, 103, 3.14
4.00, 0.16, 121, 3.14
4.00, 0.19, 137, 3.14
4.00, 0.22, 152, 3.14
4.00, 0.24, 165, 3.14
4.00, 0.27, 176, 3.14
4.00, 0.30, 186, 3.13
4.00, 0.32, 192, 3.13
4.00, 0.35, 197, 3.13
4.00, 0.38, 199, 3.12
4.00, 0.41, 199, 3.12
4.00, 0.43, 197, 3.12
4.00, 0.46, 192, 3.12
4.00, 0.49, 185, 3.12
4.00, 0.51, 176, 3.11
4.00, 0.54, 165, 3.12
4.00, 0.57, 152, 3.12
4.00, 0.60, 138, 3.12
4.00, 0.62, 121, 3.12
4.00, 0.65, 103, 3.12
4.00, 0.68, 84, 3.12
4.00, 0.70, 64, 3.12
4.00, 0.73, 44, 3.12
4.00, 0.75, 25, 3.12
4.00, 0.78, 3, 3.13
4.00, 0.81, -16, 3.13
4.00, 0.83, -38, 3.13
4.00, 0.86, -59, 3.13
4.00, 0.89, -79, 3.13
4.00, 0.91, -99, 3.14
4.00, 0.94, -117, 3.14
4.00, 0.97, -135, 3.14
4.00, 1.00, -150, 3.14
4.00, 1.03, -165, 3.14
4.00, 1.05, -176, 3.14
4.00, 1.08, -186, 3.14
4.00, 1.11, -193, 3.14
4.00, 1.14, -198, 3.14
4.00, 1.17, -200, 3.14
4.00, 1.19, -200, 3.14
4.00, 1.22, -198, 3.14
4.00, 1.25, -192, 3.14
4.00, 1.28, -185, 3.14
4.00, 1.31, -175, 3.14
4.00, 1.33, -163, 3.14
4.00, 1.36, -149, 3.14
4.00, 1.39, -133, 3.14
4.00, 1.42, -115, 3.14
4.00, 1.45, -96, 3.14
4.00, 1.47, -77, 3.14
4.00, 1.50, -56, 3.14
4.00, 1.53, -35, 3.14
4.00, 1.55, -14, 3.13
4.00, 1.58, 8, 3.13
4.00, 1.61, 28, 3.13
4.00, 1.63, 49, 3.13
4.00, 1.66, 68, 3.13
4.00, 1.68, 87, 3.13
4.00, 1.71, 106, 3.13
4.00, 1.74, 123, 3.13
4.00, 1.76, 140, 3.13
4.00, 1.79, 154, 3.13
4.00, 1.82, 167, 3.12
4.00, 1.85, 178, 3.12
4.00, 1.87, 186, 3.12
4.00, 1.90, 193, 3.12
4.00, 1.93, 197, 3.12
4.00, 1.95, 199, 3.12
4.00, 1.98, 199, 3.12
4.00, 2.01, 196, 3.12
4.00, 2.04, 191, 3.12
4.00, 2.06, 184, 3.12
4.00, 2.09, 175, 3.12
4.00, 2.12, 163, 3.12
4.00, 2.14, 150, 3.12
4.00, 2.17, 135, 3.12
4.00, 2.20, 118, 3.12
4.00, 2.23, 100, 3.12
4.00, 2.25, 81, 3.12
4.00, 2.28, 62, 3.12
4.00, 2.30, 41, 3.12
4.00, 2.33, 21, 3.12
4.00, 2.36, 0, 3.12
4.00, 2.38, -20, 3.13
4.00, 2.41, -41, 3.13
4.00, 2.44, -63, 3.13
4.00, 2.46, -82, 3.13
4.00, 2.49, -101, 3.13
4.00, 2.52, -120, 3.13
4.00, 2.54, -137, 3.13
4.00, 2.57, -153, 3.14
4.00, 2.60, -166, 3.14
4.00, 2.63, -178, 3.14
4.00, 2.66, -187, 3.14
4.00, 2.68, -194, 3.14
4.00, 2.71, -198, 3.14
4.00, 2.74, -200, 3.14
4.00, 2.77, -200, 3.14
4.00, 2.80, -197, 3.14
4.00, 2.83, -191, 3.14
4.00, 2.85, -183, 3.14
4.00, 2.88, -173, 3.14
4.00, 2.91, -160, 3.14
4.00, 2.94, -147, 3.14
4.00, 2.97, -130, 3.14
4.00, 2.99, -112, 3.14
4.00, 3.02, -93, 3.14
4.00, 3.05, -73, 3.14
4.00, 3.08, -52, 3.14
4.00, 3.10, -31, 3.14
4.00, 3.13, -10, 3.13
4.00, 3.16, 13, 3.13
4.00, 3.18, 32, 3.13
4.00, 3.21, 53, 3.13
4.00, 3.24, 72, 3.13
4.00, 3.26, 91, 3.13
4.00, 3.29, 109, 3.13
4.00, 3.31, 127, 3.13
4.00, 3.34, 143, 3.13
4.00, 3.37, 157, 3.12
4.00, 3.40, 169, 3.12
4.00, 3.42, 180, 3.12
4.00, 3.45, 188, 3.12
4.00, 3.48, 194, 3.12
4.00, 3.50, 198, 3.12
4.00, 3.53, 199, 3.12
4.00, 3.56, 199, 3.12
4.00, 3.59, 195, 3.12
4.00, 3.61, 190, 3.12
4.00, 3.64, 182, 3.12
4.00, 3.67, 173, 3.12
4.00, 3.69, 161, 3.12
4.00, 3.72, 147, 3.12
4.00, 3.75, 132, 3.12
4.00, 3.77, 114, 3.12
4.00, 3.80, 96, 3.12
4.00, 3.83, 77, 3.12
4.00, 3.85, 58, 3.12
4.00, 3.88, 38, 3.12
4.00, 3.91, 17, 3.12
4.00, 3.93, -4, 3.13
4.00, 3.96, -24, 3.13
4.00, 3.98, -46, 3.13
4.00, 4.01, -66, 3.13
4.00, 4.04, -86, 3.13
4.00, 4.07, -105, 3.13
4.00, 4.09, -124, 3.13
4.00, 4.12, -141, 3.13
4.00, 4.15, -156, 3.14
4.00, 4.18, -169, 3.14
4.00, 4.21, -180, 3.14
4.00, 4.23, -189, 3.14
4.00, 4.26, -195, 3.14
4.00, 4.29, -199, 3.14
4.00, 4.32, -200, 3.14
4.00, 4.34, -199, 3.14
4.00, 4.37, -196, 3.14
4.00, 4.40, -190, 3.14
4.00, 4.43, -181, 3.14
4.00, 4.46, -171, 3.14
4.00, 4.49, -157, 3.14
4.00, 4.51, -143, 3.14
4.00, 4.54, -127, 3.14
4.00, 4.57, -108, 3.14
4.00, 4.60, -89, 3.14
4.00, 4.63, -68, 3.14
4.00, 4.65, -48, 3.14
4.00, 4.68, -27, 3.13
4.00, 4.71, -5, 3.14
4.00, 4.73, 15, 3.13
4.00, 4.76, 37, 3.13
4.00, 4.78, 57, 3.13
4.00, 4.81, 76, 3.13
4.00, 4.84, 95, 3.13
4.00, 4.86, 112, 3.13
4.00, 4.89, 130, 3.13
4.00, 4.92, 146, 3.12
4.00, 4.94, 159, 3.12
4.00, 4.97, 171, 3.12
4.00, 5.00, 181, 3.12
4.00, 5.03, 189, 3.12
4.00, 5.05, 195, 3.12
4.00, 5.08, 198, 3.12
4.00, 5.11, 199, 3.12
4.00, 5.13, 198, 3.12
4.00, 5.16, 195, 3.12
4.00, 5.19, 189, 3.12
4.00, 5.21, 181, 3.12
4.00, 5.24, 171, 3.12
4.00, 5.27, 159, 3.12
4.00, 5.30, 144, 3.12
4.00, 5.32, 129, 3.12
4.00, 5.35, 112, 3.12
4.00, 5.38, 92, 3.12
4.00, 5.40, 74, 3.12
4.00, 5.43, 54, 3.12
4.00, 5.45, 34, 3.12
4.00, 5.48, 14, 3.12
4.00, 5.51, -8, 3.13
4.00, 5.53, -28, 3.12
4.00, 5.56, -50, 3.13
4.00, 5.59, -70, 3.13
4.00, 5.61, -89, 3.13
4.00, 5.64, -109, 3.13
4.00, 5.67, -126, 3.13
4.00, 5.70, -144, 3.13
4.00, 5.73, -158, 3.14
4.00, 5.75, -171, 3.14
4.00, 5.78, -182, 3.14
4.00, 5.81, -190, 3.14
4.00, 5.84, -196, 3.14
4.00, 5.86, -199, 3.14
4.00, 5.89, -200, 3.14
4.00, 5.92, -199, 3.14
4.00, 5.95, -195, 3.14
4.00, 5.98, -188, 3.14
4.00, 6.01, -180, 3.14
4.00, 6.03, -168, 3.14
4.00, 6.06, -155, 3.14
4.00, 6.09, -140, 3.14
4.00, 6.12, -123, 3.14
4.00, 6.15, -105, 3.14
4.00, 6.17, -85, 3.14
4.00, 6.20, -65, 3.14
4.00, 6.23, -44, 3.14
4.00, 6.26, -23, 3.13
4.00, 6.28, -1, 3.13
4.00, 6.31, 19, 3.13
4.00, 6.33, 40, 3.13
4.00, 6.36, 61, 3.13
4.00, 6.39, 79, 3.13
4.00, 6.41, 98, 3.13
4.00, 6.44, 116, 3.13
4.00, 6.47, 132, 3.12
4.00, 6.49, 148, 3.12
4.00, 6.52, 161, 3.12
4.00, 6.55, 173, 3.12
4.00, 6.57, 183, 3.12
4.00, 6.60, 190, 3.12
4.00, 6.63, 196, 3.12
4.00, 6.65, 199, 3.12
4.00, 6.68, 199, 3.12
4.00, 6.71, 198, 3.12
4.00, 6.74, 194, 3.12
4.00, 6.76, 187, 3.12
4.00, 6.79, 179, 3.12
4.00, 6.82, 168, 3.12
4.00, 6.84, 156, 3.12
4.00, 6.87, 142, 3.12
4.00, 6.90, 126, 3.12
4.00, 6.93, 108, 3.12
4.00, 6.95, 89, 3.12
4.00, 6.98, 70, 3.12
4.00, 7.00, 51, 3.12
4.00, 7.03, 30, 3.12
4.00, 7.06, 10, 3.12
4.00, 7.08, -12, 3.13
4.00, 7.11, -33, 3.13
4.00, 7.14, -54, 3.13
4.00, 7.16, -74, 3.13
4.00, 7.19, -94, 3.13
4.00, 7.22, -113, 3.13
4.00, 7.25, -130, 3.13
4.00, 7.27, -146, 3.14
4.00, 7.30, -161, 3.13
4.00, 7.33, -173, 3.14
4.00, 7.36, -184, 3.14
4.00, 7.39, -192, 3.14
4.00, 7.41, -197, 3.14
4.00, 7.44, -200, 3.14
4.00, 7.47, -200, 3.14
4.00, 7.50, -198, 3.14
4.00, 7.53, -194, 3.14
4.00, 7.55, -187, 3.14
4.00, 7.58, -178, 3.14
4.00, 7.61, -166, 3.14
4.00, 7.64, -152, 3.14
4.00, 7.67, -137, 3.14
4.00, 7.70, -119, 3.14
4.00, 7.72, -101, 3.14
4.00, 7.75, -81, 3.14
4.00, 7.78, -60, 3.14
4.00, 7.80, -40, 3.14
4.00, 7.83, -18, 3.13
4.00, 7.86, 4, 3.13
4.00, 7.88, 23, 3.13
4.00, 7.91, 44, 3.13
4.00, 7.94, 64, 3.13
4.00, 7.96, 83, 3.13
4.00, 7.99, 102, 3.13
4.00, 8.02, 120, 3.13
4.00, 8.04, 136, 3.12
4.00, 8.07, 151, 3.12
4.00, 8.10, 164, 3.12
4.00, 8.12, 176, 3.12
4.00, 8.15, 185, 3.12
4.00, 8.18, 192, 3.12
4.00, 8.20, 197, 3.12
4.00, 8.23, 199, 3.12
4.00, 8.26, 199, 3.12
4.00, 8.29, 197, 3.12
4.00, 8.31, 193, 3.12
4.00, 8.34, 186, 3.12
4.00, 8.37, 177, 3.12
4.00, 8.39, 166, 3.12
4.00, 8.42, 153, 3.12
4.00, 8.45, 138, 3.12
4.00, 8.47, 122, 3.12
4.00, 8.50, 104, 3.12
4.00, 8.53, 86, 3.12
4.00, 8.56, 66, 3.12
4.00, 8.58, 46, 3.12
4.00, 8.61, 26, 3.12
4.00, 8.63, 5, 3.12
4.00, 8.66, -15, 3.13
4.00, 8.69, -37, 3.13
4.00, 8.71, -58, 3.13
4.00, 8.74, -77, 3.13
4.00, 8.77, -98, 3.13
4.00, 8.79, -116, 3.13
4.00, 8.82, -133, 3.13
4.00, 8.85, -149, 3.14
4.00, 8.88, -163, 3.14
4.00, 8.90, -175, 3.14
4.00, 8.93, -185, 3.14
4.00, 8.96, -193, 3.14
4.00, 8.99, -198, 3.14
4.00, 9.02, -200, 3.14
4.00, 9.05, -200, 3.14
4.00, 9.07, -198, 3.14
4.00, 9.10, -193, 3.14
4.00, 9.13, -186, 3.14
4.00, 9.16, -176, 3.14
4.00, 9.19, -164, 3.14
4.00, 9.21, -150, 3.14
4.00, 9.24, -134, 3.14
4.00, 9.27, -117, 3.14
4.00, 9.30, -98, 3.14
4.00, 9.32, -78, 3.14
4.00, 9.35, -57, 3.14
4.00, 9.38, -37, 3.14
4.00, 9.41, -16, 3.14
4.00, 9.43, 7, 3.13
4.00, 9.46, 26, 3.13
4.00, 9.48, 47, 3.13
4.00, 9.51, 66, 3.13
4.00, 9.54, 86, 3.13
4.00, 9.56, 105, 3.13
4.00, 9.59, 122, 3.13
4.00, 9.62, 139, 3.12
4.00, 9.64, 153, 3.12
4.00, 9.67, 166, 3.12
4.00, 9.70, 177, 3.12
4.00, 9.72, 186, 3.12
4.00, 9.75, 193, 3.12
4.00, 9.78, 197, 3.12
4.00, 9.81, 199, 3.12
4.00, 9.83, 199, 3.12
4.00, 9.86, 197, 3.12
4.00, 9.89, 192, 3.12
4.00, 9.91, 185, 3.12
4.00, 9.94, 176, 3.12
4.00, 9.97, 164, 3.12
4.00, 10.00, 151, 3.12
4.00, 10.02, 136, 3.12
4.00, 10.05, 118, 3.12
4.00, 10.08, 99, 3.12
4.00, 10.11, 80, 3.12
4.00, 10.13, 60, 3.12
4.00, 10.16, 39, 3.12
4.00, 10.19, 18, 3.12
4.00, 10.22, -4, 3.13
4.00, 10.24, -26, 3.13
4.00, 10.27, -47, 3.13
4.00, 10.30, -69, 3.13
4.00, 10.33, -90, 3.13
4.00, 10.35, -109, 3.13
4.00, 10.38, -128, 3.14
4.00, 10.41, -146, 3.13
4.00, 10.44, -160, 3.14
4.00, 10.47, -173, 3.14
4.00, 10.50, -184, 3.14
4.00, 10.53, -192, 3.14
4.00, 10.56, -197, 3.14
4.00, 10.59, -200, 3.14
4.00, 10.62, -200, 3.14
4.00, 10.65, -198, 3.14
4.00, 10.67, -192, 3.14
4.00, 10.70, -185, 3.14
4.00, 10.73, -174, 3.14
4.00, 10.76, -161, 3.14
4.00, 10.79, -147, 3.14
4.00, 10.82, -130, 3.14
4.00, 10.85, -111, 3.14
4.00, 10.88, -91, 3.14
4.00, 10.91, -71, 3.14
4.00, 10.93, -49, 3.14
4.00, 10.96, -27, 3.14
4.00, 10.99, -5, 3.13
4.00, 11.02, 17, 3.13
4.00, 11.04, 38, 3.13
4.00, 11.07, 59, 3.13
4.00, 11.10, 80, 3.13
4.00, 11.13, 98, 3.13
4.00, 11.15, 117, 3.12
4.00, 11.18, 135, 3.12
4.00, 11.21, 150, 3.12
4.00, 11.24, 164, 3.12
4.00, 11.27, 176, 3.12
4.00, 11.29, 185, 3.12
4.00, 11.32, 192, 3.12
4.00, 11.35, 197, 3.12
4.00, 11.38, 199, 3.12
4.00, 11.40, 199, 3.12
4.00, 11.43, 196, 3.12
4.00, 11.46, 191, 3.12
4.00, 11.49, 183, 3.12
4.00, 11.52, 174, 3.12
4.00, 11.55, 161, 3.12
4.00, 11.57, 147, 3.12
4.00, 11.60, 131, 3.12
4.00, 11.63, 113, 3.12
4.00, 11.66, 94, 3.12
4.00, 11.69, 74, 3.12
4.00, 11.71, 54, 3.12
4.00, 11.74, 33, 3.12
4.00, 11.77, 11, 3.12
4.00, 11.79, -10, 3.13
4.00, 11.82, -33, 3.13
4.00, 11.85, -54, 3.13
4.00, 11.88, -76, 3.13
4.00, 11.91, -96, 3.13
4.00, 11.93, -115, 3.13
4.00, 11.96, -134, 3.14
4.00, 11.99, -150, 3.14
4.00, 12.02, -164, 3.14
4.00, 12.05, -177, 3.14
4.00, 12.08, -187, 3.14
4.00, 12.11, -194, 3.14
4.00, 12.14, -198, 3.14
4.00, 12.17, -200, 3.14
4.00, 12.19, -200, 3.14
4.00, 12.23, -196, 3.14
4.00, 12.25, -190, 3.14
4.00, 12.28, -182, 3.14
4.00, 12.31, -171, 3.14
4.00, 12.34, -157, 3.14
4.00, 12.37, -142, 3.14
4.00, 12.40, -125, 3.14
4.00, 12.43, -105, 3.14
4.00, 12.46, -85, 3.14
4.00, 12.49, -64, 3.14
4.00, 12.51, -42, 3.13
4.00, 12.54, -20, 3.14
4.00, 12.57, 2, 3.13
4.00, 12.60, 23, 3.13
4.00, 12.62, 44, 3.13
4.00, 12.65, 65, 3.13
4.00, 12.68, 86, 3.13
4.00, 12.70, 104, 3.13
4.00, 12.73, 123, 3.12
4.00, 12.76, 140, 3.12
4.00, 12.79, 154, 3.12
4.00, 12.82, 168, 3.12
4.00, 12.85, 179, 3.12
4.00, 12.87, 188, 3.12
4.00, 12.90, 194, 3.12
4.00, 12.93, 198, 3.12
4.00, 12.96, 199, 3.12
4.00, 12.98, 198, 3.12
4.00, 13.01, 195, 3.12
4.00, 13.04, 189, 3.12
4.00, 13.07, 180, 3.12
4.00, 13.10, 170, 3.12
4.00, 13.13, 157, 3.12
4.00, 13.15, 142, 3.12
4.00, 13.18, 126, 3.12
4.00, 13.21, 107, 3.12
4.00, 13.24, 87, 3.12
4.00, 13.26, 68, 3.12
4.00, 13.29, 47, 3.12
4.00, 13.32, 26, 3.12
4.00, 13.35, 4, 3.12
4.00, 13.37, -17, 3.13
4.00, 13.40, -39, 3.13
4.00, 13.43, -61, 3.13
4.00, 13.46, -81, 3.13
4.00, 13.48, -102, 3.13
