Freq,time,motorpath,angle
2.00, 0.00, 0, 3.14
2.00, 0.00, 0, 3.14
2.00, 0.01, 3, 3.15
2.00, 0.03, 13, 3.15
2.00, 0.06, 24, 3.15
2.00, 0.09, 35, 3.15
2.00, 0.12, 45, 3.15
2.00, 0.14, 55, 3.15
2.00, 0.17, 64, 3.15
2.00, 0.19, 74, 3.15
2.00, 0.22, 84, 3.15
2.00, 0.24, 93, 3.14
2.00, 0.27, 102, 3.15
2.00, 0.29, 111, 3.14
2.00, 0.32, 120, 3.14
2.00, 0.35, 128, 3.15
2.00, 0.38, 136, 3.14
2.00, 0.40, 144, 3.14
2.00, 0.43, 151, 3.14
2.00, 0.46, 158, 3.14
2.00, 0.49, 164, 3.14
2.00, 0.51, 171, 3.14
2.00, 0.54, 176, 3.14
2.00, 0.57, 181, 3.14
2.00, 0.59, 185, 3.14
2.00, 0.62, 189, 3.14
2.00, 0.65, 192, 3.14
2.00, 0.67, 195, 3.14
2.00, 0.70, 197, 3.14
2.00, 0.73, 198, 3.14
2.00, 0.75, 199, 3.14
2.00, 0.78, 199, 3.14
2.00, 0.81, 199, 3.14
2.00, 0.84, 198, 3.14
2.00, 0.86, 197, 3.14
2.00, 0.89, 195, 3.14
2.00, 0.92, 193, 3.14
2.00, 0.95, 189, 3.14
2.00, 0.97, 186, 3.14
2.00, 1.00, 182, 3.14
2.00, 1.03, 177, 3.14
2.00, 1.05, 172, 3.14
2.00, 1.08, 166, 3.14
2.00, 1.11, 160, 3.14
2.00, 1.13, 153, 3.14
2.00, 1.16, 146, 3.14
2.00, 1.19, 138, 3.14
2.00, 1.22, 130, 3.14
2.00, 1.24, 121, 3.14
2.00, 1.27, 113, 3.14
2.00, 1.30, 104, 3.14
2.00, 1.32, 94, 3.14
2.00, 1.35, 85, 3.14
2.00, 1.38, 75, 3.14
2.00, 1.40, 66, 3.14
2.00, 1.43, 56, 3.14
2.00, 1.45, 46, 3.14
2.00, 1.48, 36, 3.14
2.00, 1.50, 26, 3.14
2.00, 1.53, 15, 3.14
2.00, 1.56, 5, 3.14
2.00, 1.58, -6, 3.14
2.00, 1.61, -17, 3.14
2.00, 1.64, -27, 3.14
2.00, 1.66, -38, 3.14
2.00, 1.69, -48, 3.14
2.00, 1.72, -58, 3.14
2.00, 1.74, -68, 3.14
2.00, 1.77, -78, 3.14
2.00, 1.80, -88, 3.14
