Freq,time,motorpath,angle
2.00, 	91.58, 	163, 	3.11
2.00, 	91.61, 	169, 	3.11
2.00, 	91.64, 	175, 	3.11
2.00, 	91.67, 	180, 	3.11
2.00, 	91.70, 	185, 	3.11
2.00, 	91.72, 	189, 	3.11
2.00, 	91.75, 	192, 	3.11
2.00, 	91.78, 	195, 	3.11
2.00, 	91.81, 	197, 	3.11
2.00, 	91.84, 	198, 	3.11
2.00, 	91.87, 	199, 	3.11
2.00, 	91.89, 	199, 	3.11
2.00, 	91.92, 	199, 	3.11
2.00, 	91.95, 	198, 	3.11
2.00, 	91.98, 	197, 	3.11
2.00, 	92.01, 	194, 	3.11
2.00, 	92.04, 	191, 	3.11
2.00, 	92.06, 	188, 	3.11
2.00, 	92.09, 	184, 	3.11
2.00, 	92.12, 	179, 	3.11
2.00, 	92.15, 	174, 	3.11
2.00, 	92.18, 	168, 	3.11
2.00, 	92.20, 	162, 	3.11
2.00, 	92.23, 	155, 	3.11
2.00, 	92.26, 	148, 	3.11
2.00, 	92.29, 	140, 	3.11
2.00, 	92.31, 	132, 	3.11
2.00, 	92.34, 	123, 	3.11
2.00, 	92.37, 	114, 	3.11
2.00, 	92.40, 	105, 	3.11
2.00, 	92.43, 	95, 	3.11
2.00, 	92.45, 	86, 	3.11
2.00, 	92.48, 	76, 	3.11
2.00, 	92.51, 	65, 	3.11
2.00, 	92.54, 	56, 	3.11
2.00, 	92.56, 	45, 	3.11
2.00, 	92.59, 	34, 	3.11
2.00, 	92.62, 	23, 	3.11
2.00, 	92.64, 	12, 	3.11
2.00, 	92.67, 	1, 	3.11
2.00, 	92.70, 	-9, 	3.11
2.00, 	92.72, 	-20, 	3.11
2.00, 	92.75, 	-30, 	3.11
2.00, 	92.78, 	-41, 	3.11
2.00, 	92.81, 	-52, 	3.11
2.00, 	92.84, 	-63, 	3.11
2.00, 	92.86, 	-74, 	3.11
2.00, 	92.89, 	-84, 	3.11
2.00, 	92.92, 	-94, 	3.11
2.00, 	92.95, 	-104, 	3.11
2.00, 	92.98, 	-114, 	3.11
2.00, 	93.01, 	-123, 	3.11
2.00, 	93.04, 	-132, 	3.11
2.00, 	93.06, 	-141, 	3.11
2.00, 	93.09, 	-148, 	3.11
2.00, 	93.12, 	-156, 	3.11
2.00, 	93.15, 	-163, 	3.11
2.00, 	93.18, 	-170, 	3.11
2.00, 	93.21, 	-176, 	3.11
2.00, 	93.24, 	-181, 	3.11
2.00, 	93.27, 	-186, 	3.11
2.00, 	93.30, 	-190, 	3.11
2.00, 	93.33, 	-193, 	3.11
2.00, 	93.36, 	-196, 	3.11
2.00, 	93.38, 	-198, 	3.11
2.00, 	93.41, 	-200, 	3.11
2.00, 	93.44, 	-200, 	3.11
2.00, 	93.47, 	-200, 	3.11
2.00, 	93.50, 	-200, 	3.11
2.00, 	93.53, 	-199, 	3.11
2.00, 	93.56, 	-197, 	3.11
2.00, 	93.59, 	-194, 	3.11
2.00, 	93.62, 	-191, 	3.11
2.00, 	93.65, 	-187, 	3.11
